ID;Matvare;Kilojoule;Kilokalorier;Fett;Omega-3;Kolesterol;Karbohydrat;Sukker, tilsatt;Kostfiber;Protein;Salt;Jern
708;Perlespelt;1185;281;2,4;0;0;44,8;0;16,2;12,1;0;2,5
709;Ris, arborio, risottoris, t�rr;1605;378;1;0,02;0;85,2;0;1,4;6,4;0;0,2
710;Ris, gr�tris, 1 times koketid, t�rr;1516;357;0,8;0,04;0;80,5;0;1,1;6,4;0;0,2
711;Ris, gr�tris, 5-25 min koketid, t�rr;1503;354;0,6;0,03;0;80;3,6;1,2;6,4;1,7;0
712;Ris, hurtigris, 1 % salt, t�rr;1483;349;0,2;0,01;0;78,2;0;1,5;7,9;0,7;0
713;Ris, hurtigris, t�rr;1523;359;0,7;0,03;0;78,4;0;2,6;8,5;0;0,4
714;Ris, polert, Basmatiris, t�rr;1504;354;1;0,05;0;76,8;0;0,5;9,2;0;0,4
715;Ris, polert, Jasminris, t�rr;1505;354;0,7;0,03;0;79,5;0;0;7,5;0;0
716;Ris, polert, langkornet, t�rr;1456;343;0,7;0,03;0;75,9;0;1;7,8;0;0
717;Ris, polert, parboiled, langkornet, t�rr;1474;347;1,2;0,02;0;75,7;0;1,4;7,7;0;1,3
718;Ris, upolert, naturris, langkornet, t�rr;1542;364;3;0,04;0;72,8;0;4,2;9,4;0;1,3
719;Ris, villris, r�;1496;353;1,1;0,33;0;68,7;0;6,2;14;0;2
720;Semulegryn, hvetegryn;1437;339;2;0,07;0;69;0;2,5;10;0;0,8
721;Sorghum;1521;359;3,3;0,06;0;69,8;0;3,2;11;0;4,4
722;Bulgurgryn, kokt;555;131;0,9;0,02;0;24,9;0;3,1;4,3;0,5;1,9
723;Byggryn, kokt;455;107;0,3;0,02;0;21,8;0;3,4;2,7;0;0,7
724;Couscous, kokt;727;172;2;0,07;1;31;0;2,4;6,3;0,5;0,5
725;Nudler av hvete, uten egg, kokt;791;187;3;0,15;0;32,7;0;2,5;6,1;0;0,7
726;Nudler av ris, kokt uten salt;710;167;0,3;0,01;0;39,1;0;0,8;1,6;0,2;0,3
727;Nudler, kokt, med krydder;796;190;8,9;0,48;0;22,6;0,2;1;4,4;1,6;0,4
728;Pasta, fullkorn, kokt med salt;569;135;2,6;0,08;1;21,4;0;3,4;4,8;0,6;1,4
729;Pasta, gr�nn, fersk, kokt;594;141;3,8;0,12;51;21,1;0;1,2;5;0,9;0,7
730;Pasta, naturell, fersk, kokt;633;150;3,9;0,12;56;22,9;0;1,1;5,3;0,9;0,7
731;Pasta, naturell, kokt;490;116;0,4;0,07;0;23,3;0;1,4;4;0;0,3
732;Ris, Basmati, kokt;526;124;0,4;0,02;0;26,9;0;0,2;3,2;0,4;0,1
733;Ris, hurtigris, 1 % salt, kokt;371;87;0;0;0;19,6;0;0,4;2;0,2;0
734;Ris, hurtigris, kokt;518;122;0,2;0,01;0;26,7;0;0,9;2,9;0;0,1
735;Ris, Jasmin, kokt;527;124;0,2;0,02;0;27,8;0;0;2,6;0,4;0
736;Ris, polert, langkornet, kokt;494;116;0,2;0,01;0;25,8;0;0,3;2,7;0;0
737;Ris, polert, parboiled, langkornet, kokt;500;118;0,4;0,01;0;25,7;0;0,5;2,6;0;0,4
738;Ris, upolert, naturris, langkornet, kokt;524;124;1;0,02;0;24,8;0;1,4;3,2;0;0,4
739;Ris, villris, kokt;516;122;0,4;0,06;0;23,7;0;2,1;4,8;0;0,7
740;Corn flakes, Kelloggs;1617;381;1;0,02;0;84,1;M;3,6;7,1;1,1;0,2
741;Corn flakes, s�t, Frosties;1625;383;0,9;0;0;87,5;24;1,8;5,3;1,5;0,2
742;Frokostkorn, Jippi Frokosttall;1531;362;2,6;0,18;0;69,1;9,7;9,1;11;0,4;3
743;Frokostkorn, ristet hvete og ris, Spesial K;1587;374;1,5;0;0;79;16;4,5;9;1;2,2
744;Frokostkorn, sjokoladesmak;1637;386;2;0,1;0;83;37,7;3,4;7,3;0,7;2,8
745;Frokostkorn, sjokoladesmak, Coco Pops Crunchers;1611;380;2,5;0;0;78;24;5;9;0,8;1,8
746;Frokostkorn, sjokoladesmak, Nestl� Nesquick;1562;369;3,6;0,04;0;72,1;M;6,8;8,7;0,5;4,8
747;Havre, ristet, med frukt, olje, Cr�sli;1865;444;15;0,71;0;67;22,7;6,5;7;0;2,4
748;Havreflak, Havreflakes;1654;392;6;0,07;0;68;10,7;9;12;1;4,8
749;Havreputer, Havrefras;1530;363;6,1;0,08;0;61,5;M;11,4;9,8;0,8;4,7
750;Havreputer, Jippi Havreputer;1702;403;5,7;0,06;0;71,7;9,5;8,1;12,2;0,5;3,8
751;Havreringer, Nestl� Cheerios;1662;394;7,3;0,06;0;67,5;M;7,4;10,9;0,8;3,4
752;Hvetebrikker, Weetabix;1514;358;2,5;0,05;0;67,4;3;10,5;11,3;0,6;4,3
753;Hveteflak ristet, med hvetekli, All-bran Regular;1419;336;1,8;0,08;0;62,3;M;14,5;10,4;0,7;4,1
754;Hvetekli, ristet, All-Bran plus;1473;349;3,6;0,13;0;61,9;12,5;14;10,3;0,6;5,3
755;Kornblanding,  4-korn;1367;324;3,2;0,09;0;56,7;0;13,1;10,6;0;3,5
756;Kornblanding, med b�r, Go'dag Bl�b�rm�sli;1386;328;2;0,02;0;62;5,5;11;10;0,5;4,2
757;Kornblanding, med frukt og n�tter, Go'dag Energim�sli;1686;401;11;0,13;0;60;6,7;9;11;0;3
758;Kornblanding, med frukt, AXA Fruktm�sli;1587;376;5,7;0,06;0;69,8;M;5,7;8,5;0,4;2,7
759;Kornblanding, med frukt, Go'dag Fruktm�sli;1499;355;5;0,06;0;65;7,8;7;9;0,5;3
760;Kornblanding, m�sli med frukt, n�tter, s�tet;1542;365;3,8;0,07;0;70,6;13;8,2;8;0,4;3
761;Kornblanding, Vita Hjertego' Flerkornsblanding med Bl�b�r og Traneb�r;1516;360;4;0,06;0;62;7,5;18;10;0,8;2,4
762;Puffet havre, Havren�tter;1701;403;6,5;0,07;0;69,1;0;5,8;14,1;0;3,5
763;Puffet hvete, Hveten�tter;1599;378;2,2;0,05;0;68,5;0;11,2;15,5;0;3,1
764;Puffet hvete, med sukker og honning, Honni korn;1617;381;1,5;0,09;0;84;34;4;6;0,1;1,6
765;Puffet ris;1604;378;0,9;0,04;0;86;0;0,8;6;0;0,4
766;Bagels, hjemmelaget;1393;331;8,6;0,08;32;52,4;0;3;9,4;1,2;1,5
767;Baguett, grov, hjemmelaget;1020;241;3,1;0,05;5;42,9;0,1;5;8;0,4;1,6
768;Br�d, 1/3 sammalt mel, skummet melk, hjemmebakt;1036;245;1,3;0,04;0;46,8;0;4,5;9,2;0,3;1,6
769;Br�d, 1/3 sammalt mel, vann, hjemmebakt;1004;237;1,3;0,04;0;45,7;0;4,5;8,4;0,3;1,6
770;Br�d, 100 % sammalt mel, skummet melk, hjemmebakt;993;235;1,7;0,07;0;40;0;8,5;10,7;0,3;3
771;Br�d, 2/3 sammalt mel, skummet melk, hjemmebakt;1029;243;1,5;0,06;0;43,9;0;6,5;10,3;0,3;2,3
772;Br�d, 2/3 sammalt mel, vann, hjemmebakt;966;228;1,5;0,05;0;41,7;0;6,5;8,8;0,3;2,3
773;Br�d, 25 % sammalt mel, skummet melk, hjemmebakt;1047;247;1,3;0,04;0;47,8;0;4;9,1;0,3;1,5
774;Br�d, 25 % sammalt mel, vann, hjemmebakt;1011;239;1,2;0,04;0;46,7;0;4;8,3;0,3;1,5
775;Br�d, 50 % sammalt mel, skummet melk, hjemmebakt;1017;240;1,4;0,05;0;44,8;0;5,5;9,4;0,3;2
776;Br�d, 50 % sammalt mel, vann, hjemmebakt;985;233;1,4;0,05;0;43,7;0;5,5;8,6;0,3;1,9
777;Br�d, 75 % sammalt mel, skummet melk, hjemmebakt;1023;242;1,6;0,06;0;43;0;7;10,4;0,3;2,5
778;Br�d, 75 % sammalt mel, vann, hjemmebakt;956;226;1,5;0,06;0;40,8;0;7;8,9;0,3;2,4
779;Br�d, ekstra grovt, 75 % sammalt mel, hjemmebakt;1040;246;2,6;0,11;0;42,8;0;7,3;9,3;1;2,5
780;Br�d, glutenfritt, fint, med lettmelk, hjemmebakt;931;220;1,8;0,05;2;46,5;2,8;3,1;2,9;0,8;0,2
781;Br�d, glutenfritt, fint, med vann, hjemmebakt;876;207;1;0,04;0;47,4;2,6;2,1;1;0,7;0,2
782;Br�d, glutenfritt, grovt, med lettmelk, hjemmebakt;917;217;2,3;0,08;2;42,8;2,6;4,3;4,1;0,6;0,8
